category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Brownies og karamell","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Cappuccino","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Chai'n cookies","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Elias","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Gammeldags vanilje","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Jordbær","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Jordbær & pepper","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Karamell","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Kokos & hot mango","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Krokan","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Lemon'n lime sorbet","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Lollipop orginal","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Mangosorbet","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Nugatti","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Pistasj","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Popcorn & salt karamell","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Rom rosin","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Salt karamell","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Salt lakris","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Sirkus","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Sitron","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Sjokolade","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Solbærsplitt","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Fri vanilje","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Laktosefri vaniljeis","m","-","-"

"is & dessert","iskrem","Diplom-is","softis og milkshake","Milkshake","m","-","-"
"is & dessert","iskrem","Diplom-is","softis og milkshake","Softis med vaniljesmak","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","småis","Crème Premium Karamell","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Dyreparken","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Båt Is","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Big Deal","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Crème Cappuccino","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Crème Mandel","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Crème Melkesjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Crème Pasjonsfrukt & Sitron","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Crème Premium Nougat","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Daim Balltop","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","DUGG Sorbet Eple & Appelsin","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","DUGG Yoghurtis Bringebær & Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Friskis Appelsin/Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Friskis Fruktblanding","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Friskis Mini Mango & Banan","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Friskis Sorbet","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Isabella Vanilje","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Japp","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone is Appelsin","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone Is Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone Is NonStop","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone Is OREO","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone Is Peanøtt","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone Is Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Krone is Vegan","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Sandwich","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Sandwich Cookie","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Snackis","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Soft Shake Jordbær","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Soft Shake Sjokolade","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Solo","p","-","-"
"is & dessert","iskrem","Hennig-Olsen","småis","Vaniljepinne","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","iskaker","Riskrem Iskake","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","iskaker","Nordens Beste Iskake","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","iskaker","Anita Iskake Jubileum Hestesko","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","iskaker","Annabelle Iskake Jubileum","m","-","-"
"is & dessert","iskrem","Hennig-Olsen","iskaker","Herlighet! Iskake","m","-","-"

"is & dessert","iskrem","Hennig-Olsen","dessertis","DUGG Sorbet Bringebær","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Inspira Lakrisis","ik","-","-"
"is & dessert","iskrem","Hennig-Olsen","dessertis","Sjokolatte Sjokoladesmak","ik","-","-"
