category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Coconut","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Lime","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Mint","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Orange","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Strawberry","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Roasted Sesame","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Sea Salt","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Milk Extra Creamy","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence White","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Lindor Bar Milk","m","-","-"

"snacks & godteri","godteri og sjokolade","Malaco","-","Bentasil Eucalyptus","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Bentasil Honey Liquorice","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Bentasil Liquorice","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Djungelvrål","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Kick original","m","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Godt & Blandet Original","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Godt & Blandet Fruktopia","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Lakrisal","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","NOX lakris","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Pez","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Pez Mini","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Ruller lakris","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Saltsild","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Snøre jordbær ","p","-","-"
"snacks & godteri","godteri og sjokolade","Malaco","-","Snøre lakris","p","-","-"

"snacks & godteri","godteri og sjokolade","Mars","-","Maltesers","m","-","-"
"snacks & godteri","godteri og sjokolade","Mars","-","Mars","m","-","-"
"snacks & godteri","godteri og sjokolade","Mars","-","Milky Way","m","-","-"
"snacks & godteri","godteri og sjokolade","Mars","-","Snickers","m","-","-"
"snacks & godteri","godteri og sjokolade","Mars","-","Twix","m","-","-"

"snacks & godteri","godteri og sjokolade","Ferrero","-","Ferrero Rocher","m","-","-"
"snacks & godteri","godteri og sjokolade","Ferrero","-","Ferrero Collection","m","-","-"
"snacks & godteri","godteri og sjokolade","Ferrero","-","Kinder Sjokolade","m","-","-"
"snacks & godteri","godteri og sjokolade","Ferrero","-","Kinder Overraskelse","m","-","-"
"snacks & godteri","godteri og sjokolade","Ferrero","-","Mon Cheri","p","-","-"
"snacks & godteri","godteri og sjokolade","Ferrero","-","Nutella & Go","m","-","-"

"snacks & godteri","godteri og sjokolade","Nestlé","-","After Eight Mints","m","-","produsert i Storbritannia"
"snacks & godteri","godteri og sjokolade","Nestlé","-","KitKat","m","-","-"
"snacks & godteri","godteri og sjokolade","Nestlé","-","Lion","m","-","-"

"snacks & godteri","godteri og sjokolade","Nidar","-","Crispo Rispuff Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Crispo Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Cuba","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Dark Mint","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Doc Halslinser Eucalyptus","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Doc Halslinser Honning-Lakris","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Doc Halslinser Orginal","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Doc Trippel Effekt Honning","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Gullbrød","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Ifa Fruktig Acerola Sukkerfri","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Ifa Salt Lakris","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Ifa Salt Lakris Sukkerfri","p","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Krembanan","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Kremtopper","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Lakrisgutta Salmiakk Lakrisfudge","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Lakrisgutta Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Lakrisgutta Søt Lakrisfudge","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Melkesjokolade Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","MokkaBønner","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Mokkatrøffel","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","New Drak Energy","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","New Energy","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Nidar Favoritter Melkesjokolade","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Nidar Favoritter Stratos","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Nidar Favoritter Troika","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Polly kuler","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Polly Turmiks Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Sfinx Medium Konfekt","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Smash","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Smash! App App App","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Smørbukk Orginal","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Smørbukk Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Stratos Bar","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Stratos Litago Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Stratos Storplate","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Troika","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Troika små Fristelser","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Vill Mørk Melkesjokolade","m","-","-"
"snacks & godteri","godteri og sjokolade","Nidar","-","Vill Mørk Melkesjokolade Hasselnøt","m","-","-"

"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Eple","p","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Cola","p","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Cola sitron","p","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Jordbær","p","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Jordbærkrem","m","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Appelsin","p","-","-"
"snacks & godteri","godteri og sjokolade","Chupa Chups","-","Vannmelon","p","-","-"

"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Blackcurrant Sugar Free","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Cherry","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Citrus Sugar Free","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Liquorice","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Mint Sugar Free","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Original Extra Strong","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Original Extra Strong Sugar Free","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Salmiak","p","-","-"
"snacks & godteri","godteri og sjokolade","Fisherman's Friend","-","Spearmint Sugar Free","p","-","-"

"snacks & godteri","godteri og sjokolade","Ricola","-","Alle harde pastiller er kosher","p","-","-"

"snacks & godteri","godteri og sjokolade","Panda","-","Pepe","p","-","-"
"snacks & godteri","godteri og sjokolade","Panda","-","Lakris","p","-","-"

"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Active Caramel – Nut","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Alpine Milk","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Blutorange","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Butter Biscuit","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Cappuccino","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Coconut Cream","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Cornf lakes in Milk","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Dark Whole Hazelnut","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Edel-Bitter","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Edel-Feinherb","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Edel-Vollmilch","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Espresso","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Erdbeer","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Ganze Mandeln","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Halbbitter","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Heidelbeer Joghurt","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Irish Cream Truffel","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Joghurt","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Knusperkeks","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Marzipan","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Mouse Au Chocolate Feinherb","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Nugat","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Rum Raizin & Hazelnut Chocolate","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Trauben Nusse (Raisin)","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Vanille Likör Truffel","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Whisky Truffel Bar","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","White Chocolate","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","White Whole Hazelnuts","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Whole Almonds","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Whole Hazelnuts","m","-","-"
"snacks & godteri","godteri og sjokolade","Ritter Sport","-","Voll-Nuss","m","-","-"

"snacks & godteri","godteri og sjokolade","Storck","-","Riesen","m","-","-"
"snacks & godteri","godteri og sjokolade","Storck","-","Toffifee","m","-","-"
"snacks & godteri","godteri og sjokolade","Storck","-",""Werther’s Origina","m","-","-"

"snacks & godteri","godteri og sjokolade","Tobler","-","Toblerone","m","-","-"
"snacks & godteri","godteri og sjokolade","Tobler","-","Toblerone Bittersweet","p","-","-"
"snacks & godteri","godteri og sjokolade","Tobler","-","Toblerone White","m","-","-"

"snacks & godteri","godteri og sjokolade","Roo'bar","-","Alle typer som er merket K-LBD","-","K-LBD","-"

"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Airwaves Black Mint","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Airwaves Cherry Menthol","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Airwaves Green Mint","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Airwaves Menthol & Eucalyptus","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Doublemint","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Extra Peppermint","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Extra Spearmint","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Juicy Fruit","p","-","-"
"snacks & godteri","godteri og sjokolade","Wrigley’s","-","Hubba Bubba Orginal","p","-","-"

"snacks & godteri","potetgull og snacks","Kims","-","Delivio Havsalt & pepper","m","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Delivio Rømme & gressløk","m","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Delivio Salt","p","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Naturchips Havsalt","p","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Naturchips Rødløk & paprika","m","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Party Food Chips salt","p","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Potetchips Paprika","p","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Potetchips Salt","p","-","-"
"snacks & godteri","potetgull og snacks","Kims","-","Potetchips Salt og pepper","p","-","-"

"snacks & godteri","potetgull og snacks","Polly","-","Cashewnøtter","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Cashew, salt & pepper","m","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Chilinøtter","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Festmiks","m","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Naturmiks","m","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Peanøtter","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Turmiks","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Småsulten Nøtter & bær","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Småsulten Nøtter & frukt","p","-","-"
"snacks & godteri","potetgull og snacks","Polly","-","Småsulten Nøtter & rosiner","p","-","-"

"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa popcorn mild cheddar","ik","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Crème fraiche","m","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Havsalt","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Havsalt og Havsalt & Snill Pepper","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Salt, 30% Mindre Salt","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Trippel løk","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Spansk paprika","m","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Bondens - Mexican","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Bondens - Paprika","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Bondens - Salt","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa Spansk Paprika","m","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa Søtpote","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa Crème fraiche","m","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa Mexican","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Poppa popcorn","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Nuts salted peanuts","p","-","-"
"snacks & godteri","potetgull og snacks","Sørlandschips","-","Nuts spicy chili nuts","p","-","-"

"snacks & godteri","potetgull og snacks","Santa Maria","-","Nachos Tortilla chips","m","-","-"
"snacks & godteri","potetgull og snacks","Santa Maria","-","Party Pack Tortilla chips salted","m","-","-"
"snacks & godteri","potetgull og snacks","Santa Maria","-","Party Pack Tortilla chips chili","m","-","-"
"snacks & godteri","potetgull og snacks","Santa Maria","-","Tortilla chips chili","m","-","-"
"snacks & godteri","potetgull og snacks","Santa Maria","-","Tortilla chips salted","m","-","-"

"snacks & godteri","potetgull og snacks","Maarud","-","Alle produkter","ik","-","-"








