category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"fisk","Frosne fiskeprodukter","Findus","-","Laks naturell","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Marinert laks sitron & pepper","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Marinert laks urter & hvitløk","p","-","-"
"fisk","Frosne fiskeprodukter","Findus","-","Ørretfilet","p","-","-"

"fisk","Røket og Gravet laks","-","røkt laks","All kaldrøkt laks og øret","p","-","-"
"fisk","Røket og Gravet laks","-","gravet laks","All gravlaks uten konjakk","p","-","-"
"fisk","Fiskerogn","-","-","All rogn fra kosher fisk, som kun er tilsatt salt og ikke er pasteurisert.","p","-","-"


